session_id,user_id,customer_name,product_id,product,category,sequence_order,timestamp
2824,101,Emily,4112,男用短襪,居家生活,2,2024-03-12 03:43:54
9935,103,Eric,7012,護手霜,居家生活,1,2024-01-16 03:24:40
4582,108,Ivy,9963,牙刷組,居家生活,1,2024-10-14 07:14:22
9928,114,佳玲,7459,洗髮精,居家生活,5,2024-05-22 00:14:11
3615,123,Sophia,5674,果汁飲料,食品零食,3,2024-03-20 07:50:21
6514,104,小華,6324,果汁飲料,食品零食,1,2024-07-02 12:31:22
5333,126,小美,7627,泡麵,食品零食,5,2024-03-04 13:46:55
2291,118,Emily,6025,筆記本,文具用品,5,2024-04-08 02:31:56
1750,122,佳玲,4841,洗髮精,居家生活,1,2025-03-13 08:28:32
2654,113,Emily,7528,充電線,3C配件,6,2025-03-03 13:16:59
3664,112,Kevin,3532,泡麵,食品零食,6,2024-05-16 23:35:39
2169,120,家豪,8851,護手霜,居家生活,6,2024-05-05 05:56:57
8573,113,Emily,9225,自動鉛筆,文具用品,2,2024-12-16 11:48:24
1916,108,小美,5268,無糖紅茶,食品零食,4,2024-05-17 02:24:35
4456,130,Eric,5255,無糖紅茶,食品零食,2,2024-12-01 18:10:35
7482,129,Daniel,2440,無糖紅茶,食品零食,3,2024-03-12 08:58:45
9830,109,Eric,7119,女用短襪,居家生活,5,2024-07-23 13:10:47
4593,105,Ivy,8185,洗衣精,居家生活,1,2025-01-21 01:42:55
2796,105,家豪,7016,牛奶餅乾,食品零食,5,2024-02-02 14:00:32
7252,120,Daniel,8769,女用短襪,居家生活,3,2024-10-10 00:25:04
2876,122,Ivy,4471,洗髮精,居家生活,6,2024-06-23 04:03:41
5808,114,家豪,7533,果汁飲料,食品零食,1,2025-01-04 09:35:22
9201,125,家豪,8417,女用短襪,居家生活,1,2025-03-21 22:45:59
5889,127,Ivy,3358,男用短襪,居家生活,2,2024-07-10 05:52:54
9837,125,Ivy,109,保溫瓶,居家生活,5,2024-06-14 17:47:22
1319,104,Kevin,5138,牙刷組,居家生活,2,2024-01-30 08:46:11
2290,103,Daniel,1233,無糖紅茶,食品零食,5,2025-01-27 04:34:43
3103,122,Daniel,9107,洗衣精,居家生活,2,2024-05-15 19:12:43
7932,107,Ivy,3395,洗髮精,居家生活,6,2024-06-08 14:31:36
7118,115,Ivy,7497,泡麵,食品零食,1,2024-05-06 08:10:51
2049,111,小美,9738,洗髮精,居家生活,5,2024-04-27 21:25:28
4608,101,小華,1064,果汁飲料,食品零食,2,2024-02-04 01:08:37
6413,103,Ivy,3999,泡麵,食品零食,3,2024-12-08 17:40:24
4510,118,家豪,9455,護手霜,居家生活,5,2024-08-30 08:50:50
8749,126,Sophia,3219,護手霜,居家生活,1,2024-02-19 23:59:34
8062,112,Sophia,6835,螢光筆組,文具用品,4,2025-03-18 01:58:20
2612,102,Sophia,5659,女用短襪,居家生活,1,2024-05-07 06:58:32
4116,118,Daniel,2396,果汁飲料,食品零食,4,2024-04-03 10:08:29
8579,108,小華,7360,快充行動電源,3C配件,5,2024-02-20 01:50:30
9856,127,小美,1628,牛奶餅乾,食品零食,2,2024-03-26 14:47:49
8956,116,佳玲,6670,果汁飲料,食品零食,1,2024-03-25 13:47:52
1035,113,Emily,7554,保溫瓶,居家生活,3,2024-08-04 20:14:05
8973,105,佳玲,4961,泡麵,食品零食,2,2024-01-30 21:05:14
9883,102,Kevin,1036,無線滑鼠,3C配件,1,2024-10-26 17:21:33
9238,130,Ivy,2679,無糖紅茶,食品零食,1,2024-09-17 02:55:00
4044,103,Eric,1213,洗手慕絲,居家生活,6,2025-03-17 08:33:48
7615,104,Eric,4133,女用短襪,居家生活,5,2024-10-31 01:26:49
2343,114,Eric,9360,洗衣精,居家生活,5,2024-06-10 09:29:39
4346,122,Kevin,4010,洗衣精,居家生活,3,2024-07-21 04:45:54
5915,115,Kevin,1288,無糖紅茶,食品零食,1,2024-08-22 22:36:56
2638,103,Ivy,3592,護手霜,居家生活,5,2024-05-15 04:49:21
6718,129,小華,4102,牙刷組,居家生活,3,2024-05-25 05:44:36
8179,127,Ivy,5056,護手霜,居家生活,5,2025-02-17 23:48:37
9666,101,Ivy,5005,筆記本,文具用品,6,2024-02-23 04:53:21
5333,104,小華,9164,洗髮精,居家生活,2,2024-05-19 10:15:30
